"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10990","Runs Cucumber Scenarios","Default Suite","Sun Apr 20 03:13:18 EET 2025","passed","Sun Apr 20 03:13:29 EET 2025","tests.LoginTest.LoginRunner","SauceLabsAppium","tests.LoginTest.LoginRunner","runScenario"
"","2","setUpClass","Default Suite","Sun Apr 20 02:09:11 EET 2025","broken","Sun Apr 20 02:09:11 EET 2025","tests.LoginTest.LoginRunner","SauceLabsAppium","tests.LoginTest.LoginRunner","setUpClass"
